id,user_name,created_at,text
1528802379503738880,Kellogg Company,2022-05-23 18:17:45+00:00,"b'To live our purpose, we created Black History Every Month (BHEM) to elevate the imperative need to advance food jus\xe2\x80\xa6 https://t.co/ILIiB9HSw0'"
1528802376106360833,Kellogg Company,2022-05-23 18:17:44+00:00,"b'Access to healthy food is a fundamental right for all, and Kellogg firmly believes in our purpose of ""creating bett\xe2\x80\xa6 https://t.co/e8fmBvuCZV'"
1528802373510078464,Kellogg Company,2022-05-23 18:17:44+00:00,b'While we celebrate the significant contributions Black innovators have made to forever transform the global food sy\xe2\x80\xa6 https://t.co/s2FCR8r110'
1527291118345261061,Kellogg Company,2022-05-19 14:12:32+00:00,b'We are proud to once again be selected as a \xe2\x80\x9c100 Best Corporate Citizen\xe2\x80\x9d by @3BLMedia for our #BetterDays ESG strat\xe2\x80\xa6 https://t.co/4i0MnzqkwT'
1526928139552755714,Kellogg Company,2022-05-18 14:10:12+00:00,"b'Kellogg SVP, Nigel Hughes, shares three strategies to transform our food systems to create a sustainable system tha\xe2\x80\xa6 https://t.co/jK9F4dhqlA'"
1526558989676322816,Kellogg Company,2022-05-17 13:43:19+00:00,"b'We\xe2\x80\x99re proud to announce a new scholarship program with educational partners in our hometown of Batle Creek, Mich.,\xe2\x80\xa6 https://t.co/lwXUonZJ5o'"
1526282810339872769,Kellogg Company,2022-05-16 19:25:53+00:00,b'@smfoodbank is such an important part of our community and a great partner in our efforts to create #BetterDays . https://t.co/pf2pukyGEK'
1522209213531017216,Kellogg Company,2022-05-05 13:38:52+00:00,"b'Kellogg Chairman &amp; CEO Steve Cahillane: The result of all of this \xe2\x80\x93 strategy, executional focus, and sustained mome\xe2\x80\xa6 https://t.co/E95Mydpr2Q'"
1522208812995944448,Kellogg Company,2022-05-05 13:37:16+00:00,"b'Kellogg Chairman &amp; CEO Steve Cahillane: Kellogg Chairman &amp; CEO Steve Cahillane: Actions are louder than words, and\xe2\x80\xa6 https://t.co/ag8B5WeQAd'"
1522208516194381825,Kellogg Company,2022-05-05 13:36:06+00:00,b'Kellogg Chairman &amp; CEO Steve Cahillane: We continue to emphasize occasions and build our world-class brands. We con\xe2\x80\xa6 https://t.co/AGKX9bjQiD'
1522208174710874112,Kellogg Company,2022-05-05 13:34:44+00:00,b'Kellogg Chairman &amp; CEO Steve Cahillane: To be able to affirm our full-year earnings guidance in what is obviously a\xe2\x80\xa6 https://t.co/03YJo4C6N6'
1522207850767998977,Kellogg Company,2022-05-05 13:33:27+00:00,"b'Kellogg Chairman &amp; CEO Steve Cahillane: We\xe2\x80\x99re pleased to report another good quarter, delivering solid results \xe2\x80\x93 ev\xe2\x80\xa6 https://t.co/NFx1DLslRV'"
1510975768356012038,Kellogg Company,2022-04-04 13:41:10+00:00,b'Why Do Crackers Have Holes in Them? #IWork4Kellogg https://t.co/62HqJsBksC'
1504835014164365335,Kellogg Company,2022-03-18 15:00:00+00:00,b'Our iconic @Eggo brand has been named to the @ANA_AIMM Best-in-Culture list for a recent commercial. Honored for th\xe2\x80\xa6 https://t.co/UcnmN5A2bh'
